#C:/Users/KIMED 1/Documents/Junaidin/Docking/SrcHum-nofilter/extracted_cav/cav1m17_AQ4.pdb with C:/Users/KIMED 1/Documents/Junaidin/Docking/EGFRfarma/egfrnofilter/gemdock_out/docking.lst
#Ligand	TotalEnergy	VDW	HBond	Elec	AverConPair	
cav1m17_AQ4-1875286782-0.pdb	-81.2841	-47.8375	-33.4465	0	19.381
cav1m17_AQ4-1875288042-0.pdb	-94.3532	-77.6526	-16.7006	0	22.2174
cav1m17_AQ4-1875300030-0.pdb	-98.8045	-91.4189	-7.38556	0	22.7667
cav1m17_AQ4-1875309263-0.pdb	-82.7104	-72.4028	-10.3076	0	21.08
cav1m17_AQ4-1875318097-0.pdb	-106.087	-94.0475	-12.0399	0	21.6333
cav1m17_AQ4-1875321053-0.pdb	-70.8516	-56.9612	-13.8904	0	20.9412
cav1m17_AQ4-1875323713-0.pdb	-81.8198	-74.8198	-7	0	25.7
cav1m17_AQ4-1875323714-0.pdb	-71.7003	-68.2003	-3.5	0	21.95
cav1m17_AQ4-1875333279-0.pdb	-78.1057	-66.3666	-11.7391	0	24.6
cav1m17_AQ4-1875334796-0.pdb	-91.5221	-84.9861	-6.53596	0	19.1875
cav1m17_AQ4-1875334797-0.pdb	-91.2866	-75.7422	-15.5444	0	16.8125
cav1m17_AQ4-1875334815-0.pdb	-81.2384	-67.3308	-13.9076	0	18.5833
cav1m17_AQ4-1875334947-0.pdb	-92.3477	-75.0505	-17.2972	0	21.8261
cav1m17_AQ4-1875339735-0.pdb	-84.2765	-77.3436	-6.93285	0	20.4
cav1m17_AQ4-1875342395-0.pdb	-99.0532	-80.5234	-18.5298	0	25.4348
cav1m17_AQ4-1875352049-0.pdb	-93.9162	-81.8291	-12.0871	0	20.5714
cav1m17_AQ4-1875352229-0.pdb	-114.943	-88.6912	-26.2517	0	21.6552
cav1m17_AQ4-1875358993-0.pdb	-105.511	-91.5479	-13.9633	0	19.8
cav1m17_AQ4-1875387293-0.pdb	-104.596	-81.397	-23.199	0	22.0909
cav1m17_AQ4-1875389351-0.pdb	-83.0274	-71.8785	-11.149	0	15.375
cav1m17_AQ4-1875403736-0.pdb	-88.2487	-73.6822	-14.5665	0	20.8846
cav1m17_AQ4-1888906599-0.pdb	-63.5521	-53.8375	-9.71465	0	19.8333
cav1m17_AQ4-1888906720-0.pdb	-65.8902	-58.8902	-7	0	21.1579
cav1m17_AQ4-1888906812-0.pdb	-75.0644	-71.5674	-3.49698	0	22.2381
cav1m17_AQ4-1888908386-0.pdb	-77.2998	-77.2998	0	0	22.7727
cav1m17_AQ4-1888908387-0.pdb	-82.9671	-79.4671	-3.5	0	23.6818
cav1m17_AQ4-1888913245-0.pdb	-81.4016	-70.9016	-10.5	0	21.2727
cav1m17_AQ4-1888913294-0.pdb	-82.798	-69.045	-13.753	0	21.1667
cav1m17_AQ4-1888913295-0.pdb	-79.3178	-72.6553	-6.66253	0	23.0833
cav1m17_AQ4-1888986378-0.pdb	-78.5086	-75.0086	-3.5	0	17.96
cav1m17_AQ4-1889040386-0.pdb	-105.507	-96.8454	-8.66131	0	21.9394
cav1m17_AQ4-1889186325-0.pdb	-81.7401	-69.6787	-12.0614	0	23.5714
cav1m17_AQ4-1889186675-0.pdb	-87.4589	-67.7471	-19.7118	0	20.8095
cav1m17_AQ4-2037838333-0.pdb	-82.7767	-75.921	-6.8557	0	21.3182
cav1m17_AQ4-2037880194-0.pdb	-98.2839	-75.9007	-22.3832	0	17.3226
cav1m17_AQ4-2086865341-0.pdb	-79.6428	-73.3266	-6.31618	0	25.3333
cav1m17_AQ4-2087045484-0.pdb	-83.1894	-77.6356	-5.55379	0	22.125
cav1m17_AQ4-2087045485-0.pdb	-86.3252	-79.3252	-7	0	24.3333
cav1m17_AQ4-2100480689-0.pdb	-89.5064	-74.6395	-14.8668	0	21.1852
cav1m17_AQ4-2100534587-0.pdb	-89.0673	-70.2968	-18.7705	0	20.12
cav1m17_AQ4-2100539649-0.pdb	-119.099	-68.0014	-51.0971	0	21.875
cav1m17_AQ4-2325700251-0.pdb	-126.572	-95.9006	-30.6715	0	24.7586
cav1m17_AQ4-2325704401-0.pdb	-110.123	-75.4778	-34.6448	0	17.303
cav1m17_AQ4-2325732850-0.pdb	-85.9644	-68.5219	-17.4425	0	21.6
cav1m17_AQ4-2325739807-0.pdb	-107.868	-82.9718	-24.8957	0	23.8519
cav1m17_AQ4-2325774156-0.pdb	-84.5977	-75.2549	-9.3428	0	27.0909
cav1m17_AQ4-2325786897-0.pdb	-68.0866	-63.5322	-4.55438	0	21.75
cav1m17_AQ4-2325810563-0.pdb	-78.677	-72.6317	-6.04534	0	21.7826
cav1m17_AQ4-2325818776-0.pdb	-73.8115	-70.3115	-3.5	0	21.6667
cav1m17_AQ4-2325824596-0.pdb	-110.548	-96.7744	-13.7736	0	21.3667
cav1m17_AQ4-2325825025-0.pdb	-102.501	-75.9104	-26.5905	0	22.6
cav1m17_AQ4-2325825321-0.pdb	-98.4734	-94.9734	-3.5	0	21.6333
cav1m17_AQ4-2325825322-0.pdb	-114.454	-102.652	-11.8016	0	22.6333
cav1m17_AQ4-2325827712-0.pdb	-100.446	-87.1381	-13.3077	0	20.3548
cav1m17_AQ4-2325830885-0.pdb	-112.598	-96.2992	-16.2989	0	20.5135
cav1m17_AQ4-2325831987-0.pdb	-120.094	-100.247	-19.8467	0	14.1373
cav1m17_AQ4-2325841329-0.pdb	-85.5183	-75.3889	-10.1294	0	19.2308
cav1m17_AQ4-2325843629-0.pdb	-107.388	-101.769	-5.6192	0	18.3095
cav1m17_AQ4-2325844257-0.pdb	-128.894	-113.667	-15.227	0	16.0417
cav1m17_AQ4-2325860377-0.pdb	-87.7592	-82.0942	-5.66503	0	22.8696
cav1m17_AQ4-2325862250-0.pdb	-95.2731	-81.9252	-13.3479	0	20.6786
cav1m17_AQ4-2325870620-0.pdb	-90.9246	-76.1911	-14.7335	0	22.3043
cav1m17_AQ4-2325870855-0.pdb	-92.6503	-82.8541	-9.79619	0	21.875
cav1m17_AQ4-2325870856-0.pdb	-81.5772	-56.5143	-25.0629	0	20.4167
cav1m17_AQ4-2325875954-0.pdb	-91.36	-82.3092	-10.462	1.41128	23.36
cav1m17_AQ4-2325875955-0.pdb	-73.1774	-73.1774	0	0	19.52
cav1m17_AQ4-2325876257-0.pdb	-93.9522	-78.226	-15.7262	0	19.2667
cav1m17_AQ4-2356135070-0.pdb	-91.3083	-75.4351	-15.8733	0	20.5556
cav1m17_AQ4-2356147972-0.pdb	-88.5994	-80.9253	-7.67402	0	24.7083
cav1m17_AQ4-2356149515-0.pdb	-89.2209	-85.7209	-3.5	0	20.037
cav1m17_AQ4-2356150303-0.pdb	-82.0947	-65.7	-16.3946	0	22.0909
cav1m17_AQ4-2356152769-0.pdb	-88.0677	-73.2196	-14.8481	0	21.36
